a,b,r,R,w,score
0.5425910641046454,0.0799929648330778,0.15527078840214895,16.31490186092864,0.5236678400148896,-30616.84679209616
0.5560055523824159,0.07876470608963133,0.1463755437618088,12.839704575782307,0.5101526334991805,-31824.23345198537
0.5254634018675234,0.07269056253656787,0.11958074215631359,16.168531063111615,0.5390853599511035,-25902.44943233174
0.52635840353741,0.08081800246448534,0.10669811876508675,16.273981088332576,0.514179523625673,-28388.62190788754
0.4595560995480892,0.08444593437546397,0.15922371125878304,14.146373512854131,0.5125814922038007,-24313.14149622938
0.530944261493964,0.07616609987600466,0.1187610300145829,17.927971719100004,0.5648993925289493,-26736.694607123372
0.5554008877779562,0.051958736853006435,0.11391252129893607,12.92449345108108,0.4615629721197425,-27288.13444290932
0.5779731399213542,0.10252650933367939,0.15547225948820115,15.070580251597018,0.5196402083605002,-30170.14383227643
0.5773563193786592,0.07240758548324677,0.14303387356909772,18.0,0.6,-28778.50900707548
0.560779138165195,0.08573973559179181,0.18,16.895501936346122,0.4751667943841584,-30842.653589676287
0.565055844802633,0.08414045621431093,0.1052365852908563,12.0,0.5285609681964586,-31050.06627834424
0.5562664285752389,0.07890291813990635,0.1462478501323004,12.697958530151544,0.508340166342378,-27400.92355820808
0.6,0.12,0.1,12.0,0.45,-31140.584919819885
0.4036406273922918,0.11051022272975389,0.18,12.812696467578066,0.5503309905771067,-20141.396800699196
0.6,0.12,0.18,18.0,0.6,-32214.22624276459
0.6,0.12,0.18,12.0,0.45,-32517.62094096236
0.6,0.12,0.18,18.0,0.45,-31241.297556473088
0.6,0.12,0.18,12.0,0.6,-31167.263968329353
0.6,0.12,0.1,18.0,0.45,-32301.540912716984
0.5367762472818246,0.05444817893402219,0.12883791664257294,13.574260420244727,0.48103295787263334,-25099.458177587137
0.5544172379990813,0.12,0.18,12.0,0.45,-28865.729835204904
0.6,0.09447091009565069,0.1,12.0,0.45,-29455.23169301797
0.6,0.12,0.1,18.0,0.6,-29448.242990703788
