a,b,r,R,w,score
0.37129553205232274,0.1428470926186826,0.09836193985188033,13.034052171083413,0.3982237866865195,-8011.5377079708105
0.3780027761912079,0.14109243727090193,0.09057860079158271,8.979655338412693,0.38020351133224073,-8622.439368382617
0.3627317009337617,0.13241508933795412,0.0671331493867744,12.863286240296883,0.4187804799348048,-7569.5149853114945
0.36317920176870505,0.14402571780640766,0.055860853919450906,12.986311269721337,0.3855726981675639,-6767.507717114284
0.32977804977404457,0.14920847767923426,0.10182074735143518,10.504102431663153,0.38344198960506753,-7246.739392130576
0.36547213074698204,0.13738014268000664,0.06641590126276004,14.915967005616672,0.453199190038599,-6704.544886053344
0.37770044388897805,0.1027981955042949,0.062173456136569064,9.078575692927927,0.31541729615965663,-9593.226385381022
0.38898656996067715,0.17503787047668487,0.09853822705217602,11.582343626863189,0.39285361114733364,-9319.285035077133
0.3568430692818898,0.13025494539535454,0.08481161504267033,12.782840393961699,0.48333973474868447,-15280.946469435352
0.3108928952239709,0.14954917876836643,0.0662985150990185,11.058024639563723,0.450308598757727,-5095.501373841262
0.35682724162755963,0.13025213542969794,0.08497406597640023,12.794435035560673,0.48331431053879925,-12716.855636364817
0.331208547845817,0.12467389572355506,0.10752694476524843,14.573865158458062,0.4908624180620743,-10422.795924465576
0.30003263956964665,0.13717212601948411,0.05382019825093196,9.353887268038246,0.47903532906572055,-4578.000836217878
0.3400956405624247,0.13003309378128633,0.08380369215258551,12.972676390156494,0.3200465718145945,-6208.590400723941
0.4,0.19581326571496638,0.0910341388812872,12.011605170404403,0.5,-14989.095728947994
0.3,0.2,0.09127505818350035,8.0,0.5,-15464.104555064941
0.32771036608240595,0.1,0.0926100074651797,13.584505748802442,0.5,-11809.618886759545
0.3027871558377071,0.2,0.0847575748191011,11.020073383078213,0.5,-11524.244330471487
0.3794102881491481,0.2,0.09868047340825203,8.195045723898868,0.5,-15756.395577570547
0.3899118669754616,0.16962347136494557,0.095001600626956,8.823523576459424,0.5,-19872.65498534299
0.3,0.16183180132831076,0.09545951159083436,11.439806568235886,0.5,-11556.320992390647
0.4,0.1,0.087320376764288,8.0,0.5,-16436.733012557164
0.4,0.1,0.09750148223005813,8.0,0.5,-16467.702076619164
0.4,0.2,0.09042105089132242,8.0,0.5,-15342.068178475864
0.4,0.2,0.12,8.0,0.5,-17152.696656157314
0.4,0.1,0.12,8.0,0.5,-16726.969467266514
0.4,0.1,0.10668972123013122,8.0,0.5,-18418.911104474424
0.4,0.2,0.10689931481734652,8.0,0.5,-19271.732060664872
0.4,0.2,0.10717466364677561,8.0,0.5,-17729.93680444593
0.4,0.1,0.1069076813869819,8.0,0.5,-18386.781067646538
