a,b,r,R,w,score
0.37129553205232274,0.1428470926186826,0.15527078840214895,13.595751550773866,0.4991118933432598,-51875.09096579153
0.3780027761912079,0.14109243727090193,0.1463755437618088,10.699753813151922,0.4901017556661204,-52446.23178900645
0.3627317009337617,0.13241508933795412,0.11958074215631359,13.473775885926345,0.5093902399674024,-52762.33051449667
0.36317920176870505,0.14402571780640766,0.10669811876508675,13.561650906943813,0.492786349083782,-51634.81254246102
0.32977804977404457,0.14920847767923426,0.15922371125878304,11.78864459404511,0.4917209948025338,-46184.57625667779
0.36547213074698204,0.13738014268000664,0.1187610300145829,14.939976432583338,0.5265995950192995,-53704.16299444884
0.37770044388897805,0.1027981955042949,0.11391252129893607,10.770411209234233,0.45770864807982836,-53323.666940640054
0.38898656996067715,0.17503787047668487,0.15547225948820115,12.558816876330848,0.4964268055736668,-52136.824994661016
0.3568430692818898,0.13025494539535454,0.13978470290590894,13.4163145671155,0.5416698673743423,-52497.90936268044
0.3108928952239709,0.14954917876836643,0.11862687439887828,12.184303313974088,0.5251542993788635,-45818.21598308385
0.34808921279485583,0.17977284088958811,0.1226162347466159,12.16709119613334,0.4509757349670833,-45348.722108549
0.3340795982010828,0.1689272006461775,0.16954954318729454,11.339019108951923,0.4956747916857256,-44045.44122903048
0.32682813077117245,0.1837052796966609,0.1216411731688315,12.650310055998805,0.46753726607799156,-44110.60199991732
0.33149664458906863,0.18911090958391608,0.11442690264834343,12.471581010984517,0.47122981033899825,-42549.78507581108
0.35208768687049063,0.11600999431852174,0.1735245440741875,14.971449599270866,0.49770475595774644,-54304.91305844655
0.33098835092543455,0.15072043177407957,0.1224634558874789,13.819183472377418,0.46085422956851607,-46708.774635618705
0.351165471741535,0.19097693976341434,0.11747008108434116,11.81552033592509,0.5354972815824077,-45567.701374738375
0.3711391801814717,0.13929444107680877,0.11850411850498205,11.900873571566704,0.504916210252761,-51266.8044620964
0.35567190646779423,0.10041346427493905,0.15104180143031348,10.28824007485721,0.4543026906935139,-52835.468870309494
0.3875051134460624,0.12925876036202633,0.161021412754569,11.839326297620534,0.5373502265759768,-55174.95540999262
0.4,0.1,0.18,15.0,0.55,-60883.04182151501
0.4,0.1,0.1,15.0,0.55,-62080.46317437808
0.3077376417730704,0.13022874989467284,0.10545428929291838,11.267064919429263,0.5366185447857968,-43375.298731539195
0.3329796020050292,0.14757569452904645,0.1584511236494335,11.099823912474616,0.49259838281779567,-46025.305441596014
0.4,0.1,0.1,10.0,0.55,-55035.850968600746
0.4,0.1,0.1,15.0,0.4999017435822155,-58621.30128044527
0.4,0.1,0.18,15.0,0.45,-61407.89054229247
0.3181893510445751,0.11997201697447195,0.14065081450864922,13.596747434068797,0.4983254691172525,-49602.03314191765
0.38571344815377545,0.13305665721552862,0.1443796742486543,11.06605915193461,0.4703266919524805,-51922.534711493405
0.34413642322498594,0.1851199472302678,0.11850714284130437,11.120567700251861,0.47563573656419517,-41479.8978965311
0.3564350569457711,0.150649961892854,0.14831490058874724,12.686922118101073,0.5055345911226506,-49394.026628763255
0.37097457302334,0.13670235784364387,0.12302512754499739,14.058196032006027,0.45717879258196875,-52667.66522776538
