a,b,r,R,w,score
0.42129553205232273,0.14570825557120953,0.17527078840214894,22.19150310154773,0.5982237866865194,-19747.077341004595
0.42800277619120797,0.14465546236254115,0.16637554376180883,16.399507626303844,0.5802035113322407,-20917.97262284765
0.41273170093376166,0.13944905360277246,0.13958074215631358,21.94755177185269,0.6187804799348047,-15673.992211659146
0.41317920176870504,0.14641543068384458,0.12669811876508674,22.123301813887625,0.5855726981675639,-19858.71762812575
0.3797780497740446,0.14952508660754055,0.17922371125878306,18.57728918809022,0.5834419896050675,-15278.606292822973
0.41547213074698197,0.142428085608004,0.1387610300145829,24.879952865166675,0.6531991900385989,-18629.407152283587
0.4277004438889781,0.12167891730257693,0.13391252129893608,16.540822418468466,0.5154172961596567,-18968.914741871762
0.43898656996067714,0.1650227222860109,0.17547225948820117,20.117633752661696,0.5928536111473336,-20707.28482203203
0.44247442838642936,0.1670007901536691,0.1639782430939166,19.959662123845447,0.503413970969053,-19180.416765502792
0.43543391413553784,0.14464307696577922,0.16154482352250116,16.391957541748486,0.5506850702160113,-21506.379339611107
0.4293990729108079,0.1446406595645051,0.16066644905197078,15.953031638053558,0.5467498889893735,-21182.79888603202
0.43717542207558113,0.1446562955407632,0.15572835615795966,16.13658995121038,0.6840026986037154,-22132.37407351289
0.4384021032728758,0.14467598971548634,0.1536758259943739,17.370328526771363,0.7,-21994.003782088836
0.45,0.14523381724822526,0.12,15.0,0.7,-23755.475079198368
0.45,0.15945939927601713,0.12,15.0,0.6646679305283844,-22323.799920818383
0.35,0.1628065811915715,0.12,15.0,0.7,-17907.611430108725
0.45,0.1452834534301363,0.12,15.0,0.7,-24687.29176361212
0.45,0.14766750805949097,0.12,15.0,0.6901139561917413,-22523.04297167021
0.35,0.18,0.2,16.304228023835854,0.6858140539408863,-15563.343577035896
0.35,0.12,0.2,23.9701570055917,0.6850584661018635,-9276.853098210648
0.45,0.1276742609330779,0.12,15.232416411025518,0.5455730712988198,-19071.804321941643
0.45,0.15139557095937653,0.2,25.0,0.5,-21720.473498396306
0.45,0.14264303182235394,0.12,23.926791610486518,0.5,-22003.136984359815
